year,experiment,plot,subplot,sp,abundance,species,grass_group,CalfloraInvasive
2016,competition,competition_13,competition_13,EG.adult,1.5,Elymus glaucus,nat.per,0
2016,competition,competition_210,competition_210,EG.adult,15,Elymus glaucus,nat.per,0
2016,competition,competition_170,competition_170,EG.adult,181,Elymus glaucus,nat.per,0
2016,competition,competition_162,competition_162,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_108,competition_108,EG.adult,9,Elymus glaucus,nat.per,0
2016,competition,competition_121,competition_121,EG.adult,15,Elymus glaucus,nat.per,0
2016,competition,competition_220,competition_220,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_70,competition_70,EG.adult,33.3333333333333,Elymus glaucus,nat.per,0
2016,competition,competition_72,competition_72,EG.adult,5,Elymus glaucus,nat.per,0
2016,competition,competition_32,competition_32,EG.adult,12,Elymus glaucus,nat.per,0
2016,competition,competition_98,competition_98,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_136,competition_136,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_88,competition_88,EG.adult,240,Elymus glaucus,nat.per,0
2016,competition,competition_101,competition_101,EG.adult,15,Elymus glaucus,nat.per,0
2016,competition,competition_171,competition_171,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_74,competition_74,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_106,competition_106,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_104,competition_104,EG.adult,3,Elymus glaucus,nat.per,0
2016,competition,competition_31,competition_31,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_187,competition_187,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_113,competition_113,EG.adult,11,Elymus glaucus,nat.per,0
2016,competition,competition_107,competition_107,EG.adult,376,Elymus glaucus,nat.per,0
2016,competition,competition_175,competition_175,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_191,competition_191,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_167,competition_167,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_140,competition_140,EG.adult,22,Elymus glaucus,nat.per,0
2016,competition,competition_64,competition_64,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_80,competition_80,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_112,competition_112,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_129,competition_129,EG.adult,7,Elymus glaucus,nat.per,0
2016,competition,competition_43,competition_43,EG.adult,3,Elymus glaucus,nat.per,0
2016,competition,competition_85,competition_85,EG.adult,9,Elymus glaucus,nat.per,0
2016,competition,competition_128,competition_128,EG.adult,8,Elymus glaucus,nat.per,0
2016,competition,competition_86,competition_86,EG.adult,5,Elymus glaucus,nat.per,0
2016,competition,competition_11,competition_11,EG.adult,2.5,Elymus glaucus,nat.per,0
2016,competition,competition_130,competition_130,EG.adult,10,Elymus glaucus,nat.per,0
2016,competition,competition_38,competition_38,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_94,competition_94,EG.adult,9,Elymus glaucus,nat.per,0
2016,competition,competition_143,competition_143,EG.adult,60,Elymus glaucus,nat.per,0
2016,competition,competition_99,competition_99,EG.adult,7,Elymus glaucus,nat.per,0
2016,competition,competition_22,competition_22,EG.adult,3,Elymus glaucus,nat.per,0
2016,competition,competition_17,competition_17,EG.adult,2.5,Elymus glaucus,nat.per,0
2016,competition,competition_82,competition_82,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_157,competition_157,EG.adult,8,Elymus glaucus,nat.per,0
2016,competition,competition_59,competition_59,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_4,competition_4,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_41,competition_41,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_211,competition_211,EG.adult,35,Elymus glaucus,nat.per,0
2016,competition,competition_58,competition_58,EG.adult,10,Elymus glaucus,nat.per,0
2016,competition,competition_138,competition_138,EG.adult,7,Elymus glaucus,nat.per,0
2016,competition,competition_5,competition_5,EG.adult,3,Elymus glaucus,nat.per,0
2016,competition,competition_15,competition_15,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_188,competition_188,EG.adult,3,Elymus glaucus,nat.per,0
2016,competition,competition_24,competition_24,EG.adult,1.5,Elymus glaucus,nat.per,0
2016,competition,competition_84,competition_84,EG.adult,9,Elymus glaucus,nat.per,0
2016,competition,competition_147,competition_147,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_196,competition_196,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_199,competition_199,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_68,competition_68,EG.adult,5,Elymus glaucus,nat.per,0
2016,competition,competition_172,competition_172,EG.adult,31,Elymus glaucus,nat.per,0
2016,competition,competition_114,competition_114,EG.adult,7,Elymus glaucus,nat.per,0
2016,competition,competition_149,competition_149,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_81,competition_81,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_152,competition_152,EG.adult,15,Elymus glaucus,nat.per,0
2016,competition,competition_53,competition_53,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_2,competition_2,EG.adult,2.5,Elymus glaucus,nat.per,0
2016,competition,competition_8,competition_8,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_111,competition_111,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_127,competition_127,EG.adult,7,Elymus glaucus,nat.per,0
2016,competition,competition_224,competition_224,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_47,competition_47,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_212,competition_212,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_213,competition_213,EG.adult,3,Elymus glaucus,nat.per,0
2016,competition,competition_221,competition_221,EG.adult,4,Elymus glaucus,nat.per,0
2016,competition,competition_225,competition_225,EG.adult,1,Elymus glaucus,nat.per,0
2016,competition,competition_232,competition_232,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_52,competition_52,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_218,competition_218,EG.adult,2,Elymus glaucus,nat.per,0
2016,competition,competition_230,competition_230,EG.adult,6,Elymus glaucus,nat.per,0
2016,competition,competition_231,competition_231,EG.adult,5,Elymus glaucus,nat.per,0
2016,competition,competition_13,competition_13,SP.adult,0.5,Stipa pulchra,nat.per,0
2016,competition,competition_210,competition_210,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_170,competition_170,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_162,competition_162,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_108,competition_108,SP.adult,4,Stipa pulchra,nat.per,0
2016,competition,competition_121,competition_121,SP.adult,3,Stipa pulchra,nat.per,0
2016,competition,competition_220,competition_220,SP.adult,0,Stipa pulchra,nat.per,0
2016,competition,competition_70,competition_70,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_72,competition_72,SP.adult,6,Stipa pulchra,nat.per,0
2016,competition,competition_32,competition_32,SP.adult,13,Stipa pulchra,nat.per,0
2016,competition,competition_98,competition_98,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_136,competition_136,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_88,competition_88,SP.adult,8,Stipa pulchra,nat.per,0
2016,competition,competition_101,competition_101,SP.adult,3,Stipa pulchra,nat.per,0
2016,competition,competition_171,competition_171,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_74,competition_74,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_106,competition_106,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_104,competition_104,SP.adult,12,Stipa pulchra,nat.per,0
2016,competition,competition_31,competition_31,SP.adult,13,Stipa pulchra,nat.per,0
2016,competition,competition_187,competition_187,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_113,competition_113,SP.adult,7,Stipa pulchra,nat.per,0
2016,competition,competition_107,competition_107,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_175,competition_175,SP.adult,4,Stipa pulchra,nat.per,0
2016,competition,competition_191,competition_191,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_167,competition_167,SP.adult,2,Stipa pulchra,nat.per,0
2016,competition,competition_140,competition_140,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_64,competition_64,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_80,competition_80,SP.adult,4,Stipa pulchra,nat.per,0
2016,competition,competition_112,competition_112,SP.adult,1,Stipa pulchra,nat.per,0
2016,competition,competition_129,competition_129,SP.adult,11,Stipa pulchra,nat.per,0
2016,competition,competition_43,competition_43,SP.adult,8,Stipa pulchra,nat.per,0
2016,competition,competition_85,competition_85,SP.adult,8,Stipa pulchra,nat.per,0
2016,competition,competition_128,competition_128,SP.adult,8,Stipa pulchra,nat.per,0
2016,competition,competition_86,competition_86,SP.adult,5,Stipa pulchra,nat.per,0
