year,experiment,plot,subplot,sp,abundance,species,grass_group,CalfloraInvasive
2016,transect,transect_3,transect_3A,EG.adult,1,Elymus glaucus,nat.per,0
2016,transect,transect_5,transect_5C,EG.adult,8,Elymus glaucus,nat.per,0
2016,transect,transect_5,transect_5E,EG.adult,0,Elymus glaucus,nat.per,0
2016,transect,transect_4,transect_4A,EG.adult,0,Elymus glaucus,nat.per,0
2016,transect,transect_6,transect_6A,EG.adult,11,Elymus glaucus,nat.per,0
2016,transect,transect_4,transect_4C,EG.adult,1,Elymus glaucus,nat.per,0
2016,transect,transect_6,transect_6E,EG.adult,1,Elymus glaucus,nat.per,0
2016,transect,transect_8,transect_8A,EG.adult,6,Elymus glaucus,nat.per,0
2016,transect,transect_5,transect_5A,EG.adult,22,Elymus glaucus,nat.per,0
2016,transect,transect_4,transect_4E,EG.adult,0,Elymus glaucus,nat.per,0
2016,transect,transect_1,transect_1E,EG.adult,1,Elymus glaucus,nat.per,0
2016,transect,transect_6,transect_6C,EG.adult,8,Elymus glaucus,nat.per,0
2016,transect,transect_8,transect_8E,EG.adult,1,Elymus glaucus,nat.per,0
2016,transect,transect_8,transect_8C,EG.adult,9,Elymus glaucus,nat.per,0
2016,transect,transect_3,transect_3C,EG.adult,1,Elymus glaucus,nat.per,0
2016,transect,transect_3,transect_3E,EG.adult,0,Elymus glaucus,nat.per,0
2016,transect,transect_1,transect_1A,EG.adult,0,Elymus glaucus,nat.per,0
2016,transect,transect_1,transect_1C,EG.adult,0,Elymus glaucus,nat.per,0
2016,transect,transect_3,transect_3A,SP.adult,9,Stipa pulchra,nat.per,0
2016,transect,transect_5,transect_5C,SP.adult,1,Stipa pulchra,nat.per,0
2016,transect,transect_5,transect_5E,SP.adult,0,Stipa pulchra,nat.per,0
2016,transect,transect_4,transect_4A,SP.adult,12,Stipa pulchra,nat.per,0
2016,transect,transect_6,transect_6A,SP.adult,5,Stipa pulchra,nat.per,0
2016,transect,transect_4,transect_4C,SP.adult,9,Stipa pulchra,nat.per,0
2016,transect,transect_6,transect_6E,SP.adult,1,Stipa pulchra,nat.per,0
2016,transect,transect_8,transect_8A,SP.adult,8,Stipa pulchra,nat.per,0
2016,transect,transect_5,transect_5A,SP.adult,0,Stipa pulchra,nat.per,0
2016,transect,transect_4,transect_4E,SP.adult,3,Stipa pulchra,nat.per,0
2016,transect,transect_1,transect_1E,SP.adult,1,Stipa pulchra,nat.per,0
2016,transect,transect_6,transect_6C,SP.adult,1,Stipa pulchra,nat.per,0
2016,transect,transect_8,transect_8E,SP.adult,1,Stipa pulchra,nat.per,0
2016,transect,transect_8,transect_8C,SP.adult,2,Stipa pulchra,nat.per,0
2016,transect,transect_3,transect_3C,SP.adult,7,Stipa pulchra,nat.per,0
2016,transect,transect_3,transect_3E,SP.adult,1,Stipa pulchra,nat.per,0
2016,transect,transect_1,transect_1A,SP.adult,20,Stipa pulchra,nat.per,0
2016,transect,transect_1,transect_1C,SP.adult,3,Stipa pulchra,nat.per,0
2016,transect,transect_3,transect_3A,BH,5,Bromus hordeaceus,non.ann,1
2016,transect,transect_5,transect_5C,BH,125,Bromus hordeaceus,non.ann,1
2016,transect,transect_5,transect_5E,BH,133.3333333,Bromus hordeaceus,non.ann,1
2016,transect,transect_4,transect_4A,BH,0,Bromus hordeaceus,non.ann,1
2016,transect,transect_6,transect_6A,BH,320,Bromus hordeaceus,non.ann,1
2016,transect,transect_4,transect_4C,BH,400,Bromus hordeaceus,non.ann,1
2016,transect,transect_6,transect_6E,BH,800,Bromus hordeaceus,non.ann,1
2016,transect,transect_8,transect_8A,BH,100,Bromus hordeaceus,non.ann,1
2016,transect,transect_5,transect_5A,BH,0,Bromus hordeaceus,non.ann,1
2016,transect,transect_4,transect_4E,BH,240,Bromus hordeaceus,non.ann,1
2016,transect,transect_1,transect_1E,BH,100,Bromus hordeaceus,non.ann,1
2016,transect,transect_6,transect_6C,BH,1000,Bromus hordeaceus,non.ann,1
2016,transect,transect_8,transect_8E,BH,1,Bromus hordeaceus,non.ann,1
2016,transect,transect_8,transect_8C,BH,0,Bromus hordeaceus,non.ann,1
2016,transect,transect_3,transect_3C,BH,0,Bromus hordeaceus,non.ann,1
2016,transect,transect_3,transect_3E,BH,6,Bromus hordeaceus,non.ann,1
2016,transect,transect_1,transect_1A,BH,4,Bromus hordeaceus,non.ann,1
2016,transect,transect_1,transect_1C,BH,1,Bromus hordeaceus,non.ann,1
2016,transect,transect_3,transect_3A,BD,2,Bromus diandrus,non.ann,1
2016,transect,transect_5,transect_5C,BD,2,Bromus diandrus,non.ann,1
2016,transect,transect_5,transect_5E,BD,8,Bromus diandrus,non.ann,1
2016,transect,transect_4,transect_4A,BD,0,Bromus diandrus,non.ann,1
2016,transect,transect_6,transect_6A,BD,1,Bromus diandrus,non.ann,1
2016,transect,transect_4,transect_4C,BD,40,Bromus diandrus,non.ann,1
2016,transect,transect_6,transect_6E,BD,66.66666667,Bromus diandrus,non.ann,1
2016,transect,transect_8,transect_8A,BD,1,Bromus diandrus,non.ann,1
2016,transect,transect_5,transect_5A,BD,53.33333333,Bromus diandrus,non.ann,1
2016,transect,transect_4,transect_4E,BD,83.33333333,Bromus diandrus,non.ann,1
2016,transect,transect_1,transect_1E,BD,0,Bromus diandrus,non.ann,1
2016,transect,transect_6,transect_6C,BD,1,Bromus diandrus,non.ann,1
2016,transect,transect_8,transect_8E,BD,22.22222222,Bromus diandrus,non.ann,1
2016,transect,transect_8,transect_8C,BD,700,Bromus diandrus,non.ann,1
2016,transect,transect_3,transect_3C,BD,0,Bromus diandrus,non.ann,1
2016,transect,transect_3,transect_3E,BD,0,Bromus diandrus,non.ann,1
2016,transect,transect_1,transect_1A,BD,2,Bromus diandrus,non.ann,1
2016,transect,transect_1,transect_1C,BD,0,Bromus diandrus,non.ann,1
