year,experiment,subplot,native.density,nonnative.density,other.density
2015,transect,transect_10A,0,81.66666667,43.33333333
2015,transect,transect_10B,0,194.4444444,4
2015,transect,transect_10C,0,19.999999997,48
2015,transect,transect_10D,0,163.33333333,65
2015,transect,transect_10E,2,280.00000003,222
2015,transect,transect_1A,9,17.777777778,0
2015,transect,transect_1B,14,53.33333333,0
2015,transect,transect_1C,8,275,0
2015,transect,transect_1D,3,526.66666667,0
2015,transect,transect_1E,1,305.55555558,0
2015,transect,transect_2A,0,0,7
2015,transect,transect_2B,0,0,8
2015,transect,transect_2C,4,353.88888887,4
2015,transect,transect_2D,4,213.88888885999998,3
2015,transect,transect_2E,10,141.66666666999998,0
2015,transect,transect_3A,8,165.000000001,0
2015,transect,transect_3B,4,1057.7777778,0
2015,transect,transect_3C,6,623.33333337,0
2015,transect,transect_3D,7,772.7777778,0
2015,transect,transect_3E,1,648.88888892,0
2015,transect,transect_4A,7,368.88888894400003,0
2015,transect,transect_4B,6,626.6666667,0
2015,transect,transect_4C,7,344.444444422,0
2015,transect,transect_4D,2,933.33333333,0
2015,transect,transect_4E,1,915.55555552,0
2015,transect,transect_5A,7,489.999999963,0
2015,transect,transect_5B,4,793.33333335,0
2015,transect,transect_5C,5,292.77777781,0
2015,transect,transect_5D,2,810,0
2015,transect,transect_5E,2,1630,0
2015,transect,transect_6A,8,577.7777777800001,0
2015,transect,transect_6B,8,477.777777786,0
2015,transect,transect_6C,9,552.22222219,0
2015,transect,transect_6D,7,549.9999999300001,0
2015,transect,transect_6E,1,679.99999998,1
2015,transect,transect_7A,0,18.88888889,6
2015,transect,transect_7B,0,133.333333322,5
2015,transect,transect_7C,1,141.6666667,3
2015,transect,transect_7D,0,313.3333333,5
2015,transect,transect_7E,0,859.44444443,2
2015,transect,transect_8A,11,28.88888889,0
2015,transect,transect_8B,8,70,46.66666667
2015,transect,transect_8C,10,306.66666663,0
2015,transect,transect_8D,9,113.33333334,80
2015,transect,transect_8E,1,302.22222222,0
2015,transect,transect_9A,0,0,9
2015,transect,transect_9B,0,5.555555555,7
2015,transect,transect_9C,0,122.222222222,166.2222222
2015,transect,transect_9D,0,105.555555578,3
2015,transect,transect_9E,2,155.55555556000002,2
