year,month,experiment,plot,subplot,host,grass.group,nonnative,plant,leaf,infected,surface
2016,NA,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,1,1,0.001
2016,NA,transect,transect_1,transect_1A,EG,"native
perennial",0,2,1,1,0.001
2016,NA,transect,transect_1,transect_1A,EG,"native
perennial",0,2,2,1,0.01
2016,NA,transect,transect_1,transect_1A,EG,"native
perennial",0,2,3,1,0.001
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,3,1,1,0.001
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,3,2,1,0.05
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,3,3,1,0.01
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,4,1,1,0.01
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,4,2,1,0.01
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,4,3,1,0.01
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,5,1,1,0.01
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,5,2,1,0.01
2016,NA,transect,transect_1,transect_1A,SP,"native
perennial",0,5,3,1,0.01
2016,NA,transect,transect_1,transect_1C,EG,"native
perennial",0,6,1,1,0.001
2016,NA,transect,transect_1,transect_1C,EG,"native
perennial",0,6,2,1,0.001
2016,NA,transect,transect_1,transect_1C,EG,"native
perennial",0,6,3,0,0
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,7,1,1,0.01
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,7,2,1,0.01
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,7,3,1,0.001
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,8,1,1,0.001
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,8,2,1,0.001
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,8,3,1,0.01
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,9,1,1,0.05
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,9,2,1,0.1
2016,NA,transect,transect_1,transect_1C,SP,"native
perennial",0,9,3,1,0.01
2016,NA,transect,transect_1,transect_1E,AB,"non-native
annual",1,10,1,1,0.01
