year,month,experiment,plot,subplot,host,mean.dam,leaf.i.1,leaf.i.2,leaf.i.3,leaf.i.4,leaf.i.5,leaf.i.6,leaf.s.1,leaf.s.2,leaf.s.3,leaf.s.4,leaf.s.5,leaf.s.6,leaves.dam,leaves.tot,prop.dam,grass.group,nonnative
2015,March,transect,transect_1,transect_1A,AB,1.6666666666666666e-4,0,0,0,1,0,0,0,0,0,0.001,0,0,1,6,0.16666666666666666,"non-native
annual",1
2015,March,transect,transect_1,transect_1A,AB,3.333333333333333e-4,1,0,0,NA,NA,NA,0.001,0,0,NA,NA,NA,1,3,0.3333333333333333,"non-native
annual",1
2015,March,transect,transect_1,transect_1A,AB,0.016833333333333332,1,1,0,0,0,1,0.001,0.05,0,0,0,0.05,3,6,0.5,"non-native
annual",1
2015,March,transect,transect_1,transect_1A,BH,0.0024,1,1,0,1,0,NA,0.001,0.001,0,0.01,0,NA,3,5,0.6,"non-native
annual",1
2015,March,transect,transect_1,transect_1A,BH,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,3,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1A,BH,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,4,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1A,SP,0.016666666666666666,0,0,1,0,0,1,0,0,0.05,0,0,0.05,2,6,0.3333333333333333,"native
perennial",0
2015,March,transect,transect_1,transect_1A,SP,0.013333333333333332,1,1,1,1,0,0,0.01,0.01,0.01,0.05,0,0,4,6,0.6666666666666666,"native
perennial",0
2015,March,transect,transect_1,transect_1A,SP,0.01,0,0,1,0,0,1,0,0,0.01,0,0,0.05,2,6,0.3333333333333333,"native
perennial",0
2015,March,transect,transect_1,transect_1B,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1B,AB,0.003,1,1,0,1,NA,NA,0.001,0.01,0,0.001,NA,NA,3,4,0.75,"non-native
annual",1
2015,March,transect,transect_1,transect_1B,AB,0.0018333333333333335,0,0,0,0,1,1,0,0,0,0,0.01,0.001,2,6,0.3333333333333333,"non-native
annual",1
2015,March,transect,transect_1,transect_1B,BH,2.5e-4,1,0,0,0,NA,NA,0.001,0,0,0,NA,NA,1,4,0.25,"non-native
annual",1
2015,March,transect,transect_1,transect_1B,BH,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,2,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1B,BH,0.045,1,1,1,1,1,1,0.01,0.05,0.1,0.05,0.05,0.01,6,6,1,"non-native
annual",1
2015,March,transect,transect_1,transect_1B,SP,0.02683333333333333,1,1,1,1,1,0,0.001,0.05,0.05,0.05,0.01,0,5,6,0.8333333333333334,"native
perennial",0
2015,March,transect,transect_1,transect_1B,SP,0.035166666666666666,1,1,1,1,1,1,0.05,0.01,0.05,0.05,0.001,0.05,6,6,1,"native
perennial",0
2015,March,transect,transect_1,transect_1B,SP,0.045,1,1,1,1,1,1,0.01,0.05,0.1,0.05,0.05,0.01,6,6,1,"native
perennial",0
2015,March,transect,transect_1,transect_1C,AB,0.008833333333333334,1,1,0,1,1,0,0.001,0.001,0,0.001,0.05,0,4,6,0.6666666666666666,"non-native
annual",1
2015,March,transect,transect_1,transect_1C,AB,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,2,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1C,AB,1.6666666666666666e-4,1,0,0,0,0,0,0.001,0,0,0,0,0,1,6,0.16666666666666666,"non-native
annual",1
2015,March,transect,transect_1,transect_1C,BH,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,3,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1C,BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1C,BH,2.5e-4,1,0,0,0,NA,NA,0.001,0,0,0,NA,NA,1,4,0.25,"non-native
annual",1
2015,March,transect,transect_1,transect_1C,SP,0.015166666666666667,1,1,1,1,1,1,0.001,0.01,0.01,0.01,0.01,0.05,6,6,1,"native
perennial",0
2015,March,transect,transect_1,transect_1C,SP,0.092,1,1,1,1,0,1,0.001,0.001,0.25,0.25,0,0.05,5,6,0.8333333333333334,"native
perennial",0
2015,March,transect,transect_1,transect_1C,SP,0.0051666666666666675,1,0,1,1,1,0,0.001,0,0.01,0.01,0.01,0,4,6,0.6666666666666666,"native
perennial",0
2015,March,transect,transect_1,transect_1D,AB,0.0027500000000000003,1,0,0,1,NA,NA,0.001,0,0,0.01,NA,NA,2,4,0.5,"non-native
annual",1
2015,March,transect,transect_1,transect_1D,AB,0.0125,1,0,0,0,NA,NA,0.05,0,0,0,NA,NA,1,4,0.25,"non-native
annual",1
2015,March,transect,transect_1,transect_1D,AB,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,3,0,"non-native
annual",1
2015,March,transect,transect_1,transect_1D,BD,0.003666666666666667,0,1,1,NA,NA,NA,0,0.01,0.001,NA,NA,NA,2,3,0.6666666666666666,"non-native
annual",1
2015,March,transect,transect_1,transect_1D,BD,4e-4,1,0,1,0,0,NA,0.001,0,0.001,0,0,NA,2,5,0.4,"non-native
annual",1
2015,March,transect,transect_1,transect_1D,BD,0.005,1,0,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,1,2,0.5,"non-native
annual",1
2015,March,transect,transect_1,transect_1D,SP,8.333333333333334e-4,1,1,1,1,0,1,0.001,0.001,0.001,0.001,0,0.001,5,6,0.8333333333333334,"native
perennial",0
