title,damage-april-may-2015-transect
authors,Johannah Farner
location,serpentine experiment in Jasper Ridge Biological Preserve
date,20150425 - 20150504
entered-original,2015DataAnalysisFieldSurvey.xlsx
,
columns,meaning
Date ,date of observation
Transect,"transect number and ID (3, 6, A-D)"
Serpentine,indicator of whether or not plants were growing on serpentine soil (NON)
Species,grass species ID (SP = Stipa pulchra)
leaf1,percentage of leaf area damaged
leaf2,percentage of leaf area damaged
leaf3,percentage of leaf area damaged
leaf4,percentage of leaf area damaged
leaf5,percentage of leaf area damaged
leaf6,percentage of leaf area damaged
