Experiment,Transect,Plot,Treatment,Species,HostGroup,BackgroundSpecies,Density,Observer,DamageDate,SeedCollectionDate,Plant.ID,leaf1,leaf2,leaf3,leaf4,leaf5,leaf6,Rust?,SeedCollection,Notes
Competition,NA,1,fungicide,AB,AB seed,All,1,TCB,5/11/16,5/17/16,X516,1,5,1,NA,NA,NA,,YES,
Competition,NA,1,fungicide,BD,BD seed,All,1,TCB,5/11/16,5/17/16,X510,0.1,1,0,NA,NA,NA,,YES,
Competition,NA,1,fungicide,BH,BH seed,All,1,TCB,5/11/16,5/17/16,X518,1,1,5,NA,NA,NA,,YES,
Competition,NA,1,fungicide,EG,EG seed,All,1,TCB,5/11/16,5/17/16,X519,1,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,1,fungicide,SP,SP seed,All,1,TCB,5/11/16,5/17/16,X517,1,0,0,NA,NA,NA,,NO,
Competition,NA,1,fungicide,EG,EG adult,All,1,TCB,5/11/16,5/17/16,DEAD,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,1,fungicide,SP,SP adult,All,1,TCB,5/11/16,5/9/16,X520,5,1,5,NA,NA,NA,,YES,
Competition,NA,2,ambient,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X523,5,0.1,0,NA,NA,NA,,YES,
Competition,NA,2,ambient,BD,BD seed,All,1,SCD,5/11/16,5/17/16,X526,0,0.1,NA,NA,NA,NA,,YES,ONE OTHER HAS SMUT
Competition,NA,2,ambient,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X521,5,0,0.1,NA,NA,NA,,YES,
Competition,NA,2,ambient,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X524,0,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,2,ambient,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X522,0.1,0.1,5,NA,NA,NA,,NO,
Competition,NA,2,ambient,EG,EG adult,All,1,SCD,5/11/16,5/17/16,X527,5,5,1,NA,NA,NA,YES,YES,
Competition,NA,2,ambient,SP,SP adult,All,1,SCD,5/9/16,5/17/16,X525,5,1,1,NA,NA,NA,,YES,
Competition,NA,3,fungicide,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X530,1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,3,fungicide,BD,BD seed,All,1,SCD,5/11/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,3,fungicide,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X529,0,0,0,NA,NA,NA,,YES,
