Transect,Date,Recorder,PlotID,Plot,ELYgla,STIpul,PHAaqu,AVEbar,BROdia,BROhor,FESper,BROste,FESmyu,BRAdis,AVEfat
T1,4/8/15,Reuben,1a,A,0,9,0,6.666666667,0,6.666666667,0,0,0,0,4.444444444
T1,4/8/15,Reuben,1b,B,0,14,0,0,0,53.33333333,0,0,0,0,0
T1,4/8/15,Reuben,1c,C,0,8,0,0,0,275,0,0,0,0,0
T1,4/8/15,Reuben,1d,D,0,3,0,84,60,46.66666667,0,0,0,0,336
T1,4/8/15,Reuben,1e,E,0,1,0,75.77777778,0,116.1111111,0,0,0,0,113.6666667
T2,4/8/15,Reuben,2a,A,0,0,7,0,0,0,0,0,0,0,0
T2,4/8/15,Reuben,2b,B,0,0,8,0,0,0,0,0,0,0,0
T2,4/8/15,Reuben,2c,C,0,4,4,70,0,81.66666667,0,0,0,202.2222222,0
T2,4/8/15,Reuben,2d,D,0,4,3,30.55555556,0,183.3333333,0,0,0,0,0
T2,4/8/15,Reuben,2e,E,0,10,0,26.66666667,11.11111111,63.88888889,0,0,0,0,40
T3,4/8/15,Reuben,3a,A,0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333
T3,4/8/15,Reuben,3b,B,0,4,0,104,0,26.66666667,0,0,0,857.7777778,69.33333333
T3,4/8/15,Reuben,3c,C,0,6,0,63.55555556,0,42.77777778,0,0,0,421.6666667,95.33333333
T3,4/8/15,Reuben,3d,D,0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111
T3,4/8/15,Reuben,3e,E,0,1,0,110.6666667,44.44444444,148.8888889,0,0,0,271.1111111,73.77777778
T4,4/8/15,Reuben,4a,A,0,7,0,0,4.444444444,248.8888889,0,0,0,0,115.5555556
T4,4/8/15,Reuben,4b,B,0,6,0,21.33333333,0,66.66666667,0,0,0,506.6666667,32
T4,4/8/15,Reuben,4c,C,0,7,0,7.222222222,11.11111111,297.2222222,0,0,0,0,28.88888889
T4,4/8/15,Reuben,4d,D,0,2,0,0,38.88888889,840,0,0,0,0,54.44444444
T4,4/8/15,Reuben,4e,E,0,1,0,0,471.1111111,382.2222222,0,0,0,0,62.22222222
T5,4/6/15,Reuben,5a,A,7,0,0,9.333333333,443.3333333,23.33333333,0,0,0,0,14
T5,4/6/15,Reuben,5b,B,4,0,0,76.44444444,186.6666667,511.1111111,0,0,0,0,19.11111111
T5,4/6/15,Reuben,5c,C,5,0,0,30.22222222,18.88888889,122.7777778,0,0,0,0,120.8888889
T5,4/6/15,Reuben,5d,D,2,0,0,64,520,130,0,0,0,0,96
T5,4/6/15,Reuben,5e,E,2,0,0,180,60,1120,0,0,0,0,270
T6,4/8/15,Reuben,6a,A,7,1,0,130,57.77777778,274.4444444,0,0,115.5555556,0,0
T6,4/8/15,Reuben,6b,B,6,2,0,83.33333333,5.555555556,388.8888889,0,0,0,0,0
T6,4/8/15,Reuben,6c,C,7,2,0,77.77777778,31.11111111,443.3333333,0,0,0,0,0
T6,4/8/15,Reuben,6d,D,3,4,0,122.2222222,18.33333333,409.4444444,0,0,0,0,0
T6,4/8/15,Reuben,6e,E,1,0,1,264.4444444,37.77777778,377.7777778,0,0,0,0,0
T7,4/8/15,Reuben,7a,A,0,0,6,0,0,18.88888889,0,0,0,0,0
T7,4/8/15,Reuben,7b,B,0,0,5,0,0,2.222222222,0,131.1111111,0,0,0
T7,4/8/15,Reuben,7c,C,1,0,3,0,0,141.6666667,0,0,0,0,0
T7,4/8/15,Reuben,7d,D,0,0,5,0,0,313.3333333,0,0,0,0,0
T7,4/8/15,Reuben,7e,E,0,0,2,119,0,661.1111111,0,0,0,0,79.33333333
T8,4/8/15,Reuben,8a,A,7,4,0,0,0,28.88888889,0,0,0,0,0
T8,4/8/15,Reuben,8b,B,8,0,0,0,0,70,46.66666667,0,0,0,0
T8,4/8/15,Reuben,8c,C,6,4,0,0,253.3333333,53.33333333,0,0,0,0,0
T8,4/8/15,Reuben,8d,D,5,4,0,8,6.666666667,3.333333333,80,46.66666667,0,0,48.66666667
T8,4/8/15,Reuben,8e,E,1,0,0,94.44444444,37.77777778,170,0,0,0,0,0
T9,4/9/15,Reuben,9a,A,0,0,9,0,0,0,0,0,0,0,0
T9,4/9/15,Reuben,9b,B,0,0,7,0,4.444444444,1.111111111,0,0,0,0,0
T9,4/9/15,Reuben,9c,C,0,0,4,0,2.222222222,120,162.2222222,0,0,0,0
T9,4/9/15,Reuben,9d,D,0,0,3,0.277777778,0,102.7777778,0,0,0,0,2.5
T9,4/9/15,Reuben,9e,E,0,2,2,95.55555556,0,60,0,0,0,0,0
T10,4/9/15,Reuben,10a,A,0,0,5,0,0,81.66666667,38.33333333,0,0,0,0
T10,4/9/15,Reuben,10b,B,0,0,4,0,0,194.4444444,0,0,0,0,0
T10,4/9/15,Reuben,10c,C,0,0,3,0,1.666666667,18.33333333,45,0,0,0,0
T10,4/9/15,Reuben,10d,D,0,0,5,0,13.33333333,140,60,0,0,0,10
T10,4/9/15,Reuben,10e,E,0,2,2,50,83.33333333,146.6666667,220,0,0,0,0
