year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_2,competition_2,All,1,AB,0.017,2,3,0.6666666666666666,6,179.77777777777789,1,non-native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_2,competition_2,All,1,BD,5e-4,1,2,0.5,6,179.77777777777789,1,non-native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_2,competition_2,All,1,BH,0.017,2,3,0.6666666666666666,6,179.77777777777789,1,non-native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_2,competition_2,All,1,EG,6.666666666666666e-4,2,3,0.6666666666666666,6,179.77777777777789,0,native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_2,competition_2,All,1,SP,0.017333333333333333,3,3,1,6,179.77777777777789,0,native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_2,competition_2,All,1,EG,0.03666666666666667,3,3,1,6,179.77777777777789,0,native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_2,competition_2,All,1,SP,0.023333333333333334,3,3,1,6,179.77777777777789,0,native,185.77777777777789,-0.28236984348275673,-0.2542080811696754
2016,competition,competition_4,competition_4,All,1,AB,0.020333333333333332,3,3,1,5,366,1,non-native,371,-0.29942897166393184,0.16024607420267958
2016,competition,competition_4,competition_4,All,1,BH,0.020333333333333332,3,3,1,5,366,1,non-native,371,-0.29942897166393184,0.16024607420267958
2016,competition,competition_4,competition_4,All,1,EG,0.05,2,3,0.6666666666666666,5,366,0,native,371,-0.29942897166393184,0.16024607420267958
2016,competition,competition_4,competition_4,All,1,SP,0.017333333333333333,3,3,1,5,366,0,native,371,-0.29942897166393184,0.16024607420267958
2016,competition,competition_4,competition_4,All,1,SP,0.08333333333333334,3,3,1,5,366,0,native,371,-0.29942897166393184,0.16024607420267958
2016,competition,competition_5,competition_5,All,1,AB,0.006999999999999999,3,3,1,4.5,272,1,non-native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_5,competition_5,All,1,BD,3.333333333333333e-4,1,3,0.3333333333333333,4.5,272,1,non-native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_5,competition_5,All,1,BH,0.003333333333333333,1,3,0.3333333333333333,4.5,272,1,non-native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_5,competition_5,All,1,EG,0.003666666666666667,2,3,0.6666666666666666,4.5,272,0,native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_5,competition_5,All,1,SP,0.003666666666666667,2,3,0.6666666666666666,4.5,272,0,native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_5,competition_5,All,1,EG,0.017333333333333333,3,3,1,4.5,272,0,native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_5,competition_5,All,1,SP,0.06666666666666667,3,3,1,4.5,272,0,native,276.5,-0.30795853575451937,-0.04895930494112265
2016,competition,competition_8,competition_8,All,1,AB,0.001,3,3,1,7.5,423.5,1,non-native,431,-0.25678115121099415,0.2882174497427714
2016,competition,competition_8,competition_8,All,1,BD,0.004,3,3,1,7.5,423.5,1,non-native,431,-0.25678115121099415,0.2882174497427714
2016,competition,competition_8,competition_8,All,1,BH,0,0,3,0,7.5,423.5,1,non-native,431,-0.25678115121099415,0.2882174497427714
2016,competition,competition_8,competition_8,All,1,EG,3.333333333333333e-4,1,3,0.3333333333333333,7.5,423.5,0,native,431,-0.25678115121099415,0.2882174497427714
