year,month,experiment,plot,subplot,host,mean.dam,leaf.i.1,leaf.i.2,leaf.i.3,leaf.i.4,leaf.i.5,leaf.i.6,leaf.s.1,leaf.s.2,leaf.s.3,leaf.s.4,leaf.s.5,leaf.s.6,leaves.dam,leaves.tot,prop.dam,grass.group,nonnative,native.density,nonnative.density,other.density,total.density,natdens.s,nondens.s,othdens.s,nonnative.rel,leaves.healthy
2015,April,transect,transect_1,transect_1A,AB,2.5e-4,0,0,0,1,NA,NA,0,0,0,0.001,NA,NA,1,4,0.25,"non-native
annual",1,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,3
2015,April,transect,transect_1,transect_1A,AB,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,2,0,"non-native
annual",1,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,2
2015,April,transect,transect_1,transect_1A,AB,5e-4,1,0,NA,NA,NA,NA,0.001,0,NA,NA,NA,NA,1,2,0.5,"non-native
annual",1,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,1
2015,April,transect,transect_1,transect_1A,BH,0.03333333333333333,0,0,1,NA,NA,NA,0,0,0.1,NA,NA,NA,1,3,0.3333333333333333,"non-native
annual",1,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,2
2015,April,transect,transect_1,transect_1A,SP,0.005333333333333333,1,1,0,1,1,1,0.01,0.001,0,0.001,0.01,0.01,5,6,0.8333333333333334,"native
perennial",0,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,1
2015,April,transect,transect_1,transect_1A,SP,0.02183333333333333,1,1,1,1,1,1,0.05,0.05,0.001,0.01,0.01,0.01,6,6,1,"native
perennial",0,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,0
2015,April,transect,transect_1,transect_1A,SP,0.018500000000000003,1,0,0,1,1,0,0.1,0,0,0.001,0.01,0,3,6,0.5,"native
perennial",0,9,17.777777778,0,26.777777778,0.35062674538059196,-1.1850229686968803,-0.19300826117393743,0.6639004149405485,3
2015,April,transect,transect_1,transect_1C,AB,0.002,1,1,0,1,0,0,0.001,0.001,0,0.01,0,0,3,6,0.5,"non-native
annual",1,8,275,0,283,0.14688417711889667,-0.39985221773546864,-0.19300826117393743,0.9717314487632509,3
2015,April,transect,transect_1,transect_1C,AB,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,4,0,"non-native
annual",1,8,275,0,283,0.14688417711889667,-0.39985221773546864,-0.19300826117393743,0.9717314487632509,4
2015,April,transect,transect_1,transect_1C,AB,0.04166666666666667,0,0,1,0,0,0,0,0,0.25,0,0,0,1,6,0.16666666666666666,"non-native
annual",1,8,275,0,283,0.14688417711889667,-0.39985221773546864,-0.19300826117393743,0.9717314487632509,5
2015,April,transect,transect_1,transect_1C,BH,0.01,1,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,1,1,1,"non-native
annual",1,8,275,0,283,0.14688417711889667,-0.39985221773546864,-0.19300826117393743,0.9717314487632509,0
