pathogen,host.num
Alternaria infectoria,50
Ramularia proteae,1
Pyrenophora chaetomioides,7
Pyrenophora lolii,11
Parastagonospora avenae,54
Pyrenophora tritici-repentis,63
Drechslera fugax,14
Alternaria eureka,2
Drechslera nobleae,3
Nemania serpens,49
Epicoccum nigrum,282
Alternaria thalictrigena,0
Coniella fragariae,26
Chalastospora gossypii,26
Phlebia acerina,2
Anthostomella proteae,1
Cladosporium antarcticum,1
Pyrenophora erythrospila,15
Pyrenophora dactylidis,1
Trametes versicolor,296
Parastagonospora caricis,2
Cadophora luteo-olivacea,6
Cladosporium limoniforme,3
Coniochaeta hoffmannii,6
Aureobasidium proteae,3
Pyrenophora biseptata,13
Neophaeomoniella zymoides,2
Chaetomium pseudocochliodes,1
