year,experiment,plot,subplot,bg.species,competition.density,native.density,nonnative.density,total.density,natdens.s,nondens.s,year.f
2015,transect,transect_1,transect_1A,NA,NA,18,17.777777778,35.777777778,1.0264253362861464,-1.1611185752726902,2015
2015,transect,transect_1,transect_1C,NA,NA,16,275,291,0.76001239072143,-0.33867139041543554,2015
2015,transect,transect_1,transect_1E,NA,NA,2,305.55555558,307.55555558,-1.1048782282315843,-0.2409724806889221,2015
2015,transect,transect_2,transect_2A,NA,NA,0,7,7,-1.3712911737963007,-1.195579645222093,2015
2015,transect,transect_2,transect_2C,NA,NA,8,357.88888887,365.88888887,-0.3056393915374353,-0.07364089375702251,2015
2015,transect,transect_2,transect_2E,NA,NA,20,141.66666666999998,161.66666666999998,1.2928382818508628,-0.7649939052339604,2015
2015,transect,transect_3,transect_3A,NA,NA,16,165.000000001,181.000000001,0.76001239072143,-0.690387465146314,2015
2015,transect,transect_3,transect_3C,NA,NA,12,623.33333337,635.33333337,0.22718649959199735,0.7750961796930432,2015
2015,transect,transect_3,transect_3E,NA,NA,2,648.88888892,650.88888892,-1.1048782282315843,0.8568079950175399,2015
2015,transect,transect_4,transect_4A,NA,NA,14,368.88888894400003,382.88888894400003,0.4935994451567137,-0.03846928604700589,2015
2015,transect,transect_4,transect_4C,NA,NA,14,344.444444422,358.444444422,0.4935994451567137,-0.1166284140136671,2015
2015,transect,transect_4,transect_4E,NA,NA,2,915.55555552,917.55555552,-1.1048782282315843,1.7094530244627442,2015
2015,transect,transect_5,transect_5A,NA,NA,14,489.999999963,503.999999963,0.4935994451567137,0.34877366462831727,2015
2015,transect,transect_5,transect_5C,NA,NA,10,292.77777781,302.77777781,-0.03922644597271898,-0.2818283883351833,2015
2015,transect,transect_5,transect_5E,NA,NA,4,1630,1634,-0.838465282666868,3.993831166536135,2015
2015,transect,transect_6,transect_6A,NA,NA,16,577.7777777800001,593.7777777800001,0.76001239072143,0.6294359870162727,2015
2015,transect,transect_6,transect_6C,NA,NA,18,552.22222219,570.22222219,1.0264253362861464,0.5477241715638792,2015
2015,transect,transect_6,transect_6E,NA,NA,2,680.99999998,682.99999998,-1.1048782282315843,0.9594806671754778,2015
2015,transect,transect_7,transect_7A,NA,NA,0,24.88888889,24.88888889,-1.3712911737963007,-1.1383813744789584,2015
2015,transect,transect_7,transect_7C,NA,NA,2,144.6666667,146.6666667,-1.1048782282315843,-0.7554016485543811,2015
2015,transect,transect_7,transect_7E,NA,NA,0,861.44444443,861.44444443,-1.3712911737963007,1.5364371372620687,2015
2015,transect,transect_8,transect_8A,NA,NA,22,28.88888889,50.888888890000004,1.559251227415579,-1.1255916990340828,2015
2015,transect,transect_8,transect_8C,NA,NA,20,306.66666663,326.66666663,1.2928382818508628,-0.23741979326074328,2015
2015,transect,transect_8,transect_8E,NA,NA,2,302.22222222,304.22222222,-1.1048782282315843,-0.2516305436449161,2015
2015,transect,transect_9,transect_9A,NA,NA,0,9,9,-1.3712911737963007,-1.1891848074996554,2015
2015,transect,transect_9,transect_9C,NA,NA,0,288.444444422,288.444444422,-1.3712911737963007,-0.2956838702419239,2015
2015,transect,transect_9,transect_9E,NA,NA,4,157.55555556000002,161.55555556000002,-0.838465282666868,-0.7141904722132633,2015
2015,transect,transect_10,transect_10A,NA,NA,0,125,125,-1.3712911737963007,-0.8182842195982662,2015
