year,year.f,grass.status,otu.id,taxonomy,abundance,rank
2015,year 1,native,1,Alternaria cf. infectoria,8,3
2015,year 1,native,2,Drechslera sp.,4,8
2015,year 1,native,3,Ramularia cf. proteae,13,2
2015,year 1,native,4,Pyrenophora cf. chaetomioides,1,19
2015,year 1,native,5,Pyrenophora cf. lolii,7,5
2015,year 1,native,6,Keissleriella sp.,5,7
2015,year 1,native,7,Parastagonospora cf. avenae,8,4
2015,year 1,native,8,Pyrenophora cf. tritici-repentis,20,1
2015,year 1,native,9,Drechslera cf. fugax,3,10
2015,year 1,native,12,unknown Phaeosphaeriaceae,5,6
2015,year 1,native,13,Neoascochyta sp.,1,17
2015,year 1,native,14,Cladosporium sp.,2,11
2015,year 1,native,15,Alternaria cf. eureka,1,16
2015,year 1,native,17,unknown Phaeosphaeriaceae,3,9
2015,year 1,native,20,Drechslera cf. nobleae,1,18
2015,year 1,native,22,Nemania cf. serpens,2,13
2015,year 1,native,26,Sordaria sp.,1,20
2015,year 1,native,34,unknown Phaeosphaeriaceae,2,12
2015,year 1,native,37,Graphostroma sp.,1,14
2015,year 1,native,53,Alternaria sp.,1,22
2015,year 1,native,57,Pyrenophora cf. tritici-repentis,1,15
2015,year 1,native,73,Phaeosphaeria sp.,1,21
2015,year 1,non-native,1,Alternaria cf. infectoria,21,1
2015,year 1,non-native,2,Drechslera sp.,3,10
2015,year 1,non-native,3,Ramularia cf. proteae,11,4
2015,year 1,non-native,4,Pyrenophora cf. chaetomioides,18,3
2015,year 1,non-native,5,Pyrenophora cf. lolii,18,2
2015,year 1,non-native,7,Parastagonospora cf. avenae,2,11
2015,year 1,non-native,9,Drechslera cf. fugax,6,5
2015,year 1,non-native,10,unknown Pleosporaceae,2,13
2015,year 1,non-native,11,Stemphylium sp.,1,21
2015,year 1,non-native,12,unknown Phaeosphaeriaceae,1,15
2015,year 1,non-native,14,Cladosporium sp.,3,8
2015,year 1,non-native,18,Phaeosphaeria sp.,1,14
2015,year 1,non-native,20,Drechslera cf. nobleae,3,7
2015,year 1,non-native,22,Nemania cf. serpens,1,24
2015,year 1,non-native,27,Pyrenophora cf. dactylidis,4,6
2015,year 1,non-native,32,Parastagonospora cf. caricis,3,9
2015,year 1,non-native,39,Diatrype sp.,2,12
2015,year 1,non-native,54,Loratospora sp.,1,20
2015,year 1,non-native,70,Aureobasidium cf. proteae,1,23
2015,year 1,non-native,74,Coniochaeta sp.,1,25
2015,year 1,non-native,75,Pyrenophora cf. biseptata,1,22
2015,year 1,non-native,77,Anthostomella sp.,1,17
2015,year 1,non-native,78,Ochrocladosporium cf. frigidarii,1,18
2015,year 1,non-native,79,Cystostereum sp.,1,19
2015,year 1,non-native,111,,1,16
2016,year 2,native,1,Alternaria cf. infectoria,27,2
2016,year 2,native,2,Drechslera sp.,112,1
2016,year 2,native,3,Ramularia cf. proteae,4,12
2016,year 2,native,4,Pyrenophora cf. chaetomioides,3,13
2016,year 2,native,5,Pyrenophora cf. lolii,13,4
2016,year 2,native,7,Parastagonospora cf. avenae,24,3
2016,year 2,native,8,Pyrenophora cf. tritici-repentis,4,11
2016,year 2,native,9,Drechslera cf. fugax,7,7
2016,year 2,native,10,unknown Pleosporaceae,4,10
2016,year 2,native,11,Stemphylium sp.,1,37
2016,year 2,native,12,unknown Phaeosphaeriaceae,1,30
2016,year 2,native,13,Neoascochyta sp.,8,6
2016,year 2,native,15,Alternaria cf. eureka,2,15
2016,year 2,native,17,unknown Phaeosphaeriaceae,5,9
2016,year 2,native,18,Phaeosphaeria sp.,5,8
2016,year 2,native,19,Drechslera sp.,9,5
2016,year 2,native,21,Parastagonospora cf. cumpignensis,1,36
2016,year 2,native,22,Nemania cf. serpens,1,27
2016,year 2,native,23,Phaeosphaeria sp.,2,19
2016,year 2,native,26,Sordaria sp.,2,16
2016,year 2,native,30,Coniella cf. fragariae,3,14
2016,year 2,native,35,Chalastospora cf. gossypii,2,17
2016,year 2,native,37,Graphostroma sp.,1,39
2016,year 2,native,41,Parastagonospora cf. cumpignensis,2,18
2016,year 2,native,42,Alternaria sp.,1,22
2016,year 2,native,44,unknown Phaeosphaeriaceae,1,25
2016,year 2,native,45,Anthostomella cf. proteae,2,20
2016,year 2,native,46,Drechslera sp.,1,35
2016,year 2,native,48,Preussia cf. lignicola,1,41
2016,year 2,native,51,Podospora sp.,1,24
2016,year 2,native,56,Pyrenophora sp.,1,40
2016,year 2,native,59,Cladosporium sp.,1,34
